SampleID,Flask_No,Enrichment,Carbon,Media,Replicate,Time_Point,Time,Minutes,Hours,Absorbance,Absorbance_300,Biomass_mg
Laura2_DCPET_BH_R1_T2,25,Laura2,DCPET,BH,R1,T2,06092021_1200pm,2700,45,0.766,,
Laura2_DCPET_BH_R2_T2,26,Laura2,DCPET,BH,R2,T2,06092021_1200pm,2700,45,1.274,,
Laura2_DCPET_BH_R3_T2,27,Laura2,DCPET,BH,R3,T2,06092021_1200pm,2700,45,0.736,,
Emma2_Blank_BH_R1_T2,28,Emma2,Blank,BH,R1,T2,06092021_1200pm,2700,45,0.352,,
Emma2_Blank_BH_R2_T2,29,Emma2,Blank,BH,R2,T2,06092021_1200pm,2700,45,0.228,,
Emma2_Blank_BH_R3_T2,30,Emma2,Blank,BH,R3,T2,06092021_1200pm,2700,45,0.248,,
Laura1_Blank_BH_R1_T2,31,Laura1,Blank,BH,R1,T2,06092021_1200pm,2700,45,0.16,,
Laura1_Blank_BH_R2_T2,32,Laura1,Blank,BH,R2,T2,06092021_1200pm,2700,45,0.308,,
Laura1_Blank_BH_R3_T2,33,Laura1,Blank,BH,R3,T2,06092021_1200pm,2700,45,0.158,,
Laura2_Blank_BH_R1_T2,34,Laura2,Blank,BH,R1,T2,06092021_1200pm,2700,45,0.145,,
Laura2_Blank_BH_R2_T2,35,Laura2,Blank,BH,R2,T2,06092021_1200pm,2700,45,0.139,,
Laura2_Blank_BH_R3_T2,36,Laura2,Blank,BH,R3,T2,06092021_1200pm,2700,45,0.116,,
Emma2_DCPET_AMW_R1_T2,37,Emma2,DCPET,AMW,R1,T2,06092021_1200pm,2700,45,0.685,,
Emma2_DCPET_AMW_R2_T2,38,Emma2,DCPET,AMW,R2,T2,06092021_1200pm,2700,45,1.313,,
Emma2_DCPET_AMW_R3_T2,39,Emma2,DCPET,AMW,R3,T2,06092021_1200pm,2700,45,1.384,,
Laura1_DCPET_AMW_R1_T2,40,Laura1,DCPET,AMW,R1,T2,06092021_1200pm,2700,45,0.859,,
Laura1_DCPET_AMW_R2_T2,41,Laura1,DCPET,AMW,R2,T2,06092021_1200pm,2700,45,0.555,,
Laura1_DCPET_AMW_R3_T2,42,Laura1,DCPET,AMW,R3,T2,06092021_1200pm,2700,45,0.855,,
Laura2_DCPET_AMW_R1_T2,43,Laura2,DCPET,AMW,R1,T2,06092021_1200pm,2700,45,1.298,,
Laura2_DCPET_AMW_R2_T2,44,Laura2,DCPET,AMW,R2,T2,06092021_1200pm,2700,45,0.78,,
Laura2_DCPET_AMW_R3_T2,45,Laura2,DCPET,AMW,R3,T2,06092021_1200pm,2700,45,1.122,,
